Item No,Level / Group,Member ID,Bar Mark,Description,Bending Shape,Bar Dia (mm),No. of Members,Bars Per Member,Total Bars,Cutting Length (m),Total Length (m),Unit Weight (kg/m),Total Weight (kg)
105,FF Roof Beam (Z = +6835.4 mm),"FF_RB2_Stair_East_Trimmer (300x300, L=0.99m)",FF-SET-V12,"Trimmer Longitudinal Rebar (4#12mm: 2 top, 2 bot) into C7",C-Shape Beam Bar (2x90° End Anchorage 250mm),12,1,4,4,1.376,5.50,0.888,4.89
106,FF Roof Beam (Z = +6835.4 mm),"FF_RB2_Stair_East_Trimmer (300x300, L=0.99m)",FF-SET-S8,2-Legged Shear Stirrups (300x300mm tie @ 100mm c/c),Square Stirrup + 135° Hooks (10d),8,1,9,9,1.064,9.58,0.395,3.78
107,FF Roof Beam (Z = +6835.4 mm),"FF_RB2_Stair_West_Trimmer (230x300, L=1.71m)",FF-SWT-V12,"Trimmer Longitudinal Rebar (4#12mm: 2 top, 2 bot)",C-Shape Beam Bar (2x90° End Anchorage 250mm),12,1,4,4,2.100,8.40,0.888,7.46
108,FF Roof Beam (Z = +6835.4 mm),"FF_RB2_Stair_West_Trimmer (230x300, L=1.71m)",FF-SWT-S8,2-Legged Shear Stirrups (230x300mm tie @ 125mm c/c),Rectangular Stirrup + 135° Hooks (10d),8,1,14,14,0.924,12.94,0.395,5.11
109,Terrace Tank Saddle (Z = +9260.4 mm),OHT_Saddle_Beams North & South (2 Nos),OHT-SAD-T16,Top Load Transfer Rebar (2#16mm) across C7-C8,C-Shape Beam Bar (2x90° End Anchorage 180mm),16,2,2,4,3.782,15.13,1.578,23.87
110,Terrace Tank Saddle (Z = +9260.4 mm),OHT_Saddle_Beams North & South (2 Nos),OHT-SAD-B16,Bottom Load Transfer Rebar (2#16mm) across C7-C8,U-Shape Beam Bar (2x90° End Anchorage 180mm),16,2,2,4,3.782,15.13,1.578,23.87
111,Terrace Tank Saddle (Z = +9260.4 mm),OHT_Saddle_Beams North & South (2 Nos),OHT-SAD-S8,2-Legged Heavy Shear Stirrups (@ 100mm c/c continuous),Square Stirrup + 135° Hooks (10d),8,2,36,72,0.784,56.45,0.395,22.30

---,--- DIA-WISE PROCUREMENT SUMMARY (Fe500D) ---,,,,,,,,,,,,
Bar Dia (mm),Unit Wt (kg/m),Net Length (m),Net Weight (kg),Procurement (+4%) Length (m),Procurement Weight (kg),Procurement Weight (MT),Commercial 12m Bars Required,Standard Bundle Size (Bars),Bundles Required,,,,
8 mm,0.395,1650.08,651.78,1716.08,677.85,0.678,144,10,15,,,,
10 mm,0.617,166.14,102.51,172.79,106.61,0.107,15,7,3,,,,
12 mm,0.888,462.11,410.36,480.60,426.77,0.427,41,5,9,,,,
16 mm,1.578,1211.37,1911.54,1259.82,1988.00,1.988,105,3,35,,,,

GRAND TOTAL,,,3076.19 kg (3.076 MT),,3199.24 kg (3.199 MT),,305,,62,,,,
